stationNumber;stationName;province;latitude;longitude;levitation
57232;石泉;陕西;3303;10816;4849
57245;安康;陕西;3243;10902;2908
58362;宝山;上海;3124;12127;55
58367;上海龙华;上海;3110;12126;26
56038;石渠;四川;3259;9806;92000
56079;若尔盖;四川;3335;10258;34396
56132;石渠洛须;四川;3228;9800;82421
56144;德格;四川;3148;9835;81840
56146;甘孜;四川;3137;10000;83935
56152;色达;四川;3217;10020;88939
56167;道孚;四川;3059;10107;29572
56171;阿坝;四川;3254;10142;32751
56172;马尔康;四川;3154;10214;26644
56173;红原;四川;3248;10233;34916
56178;小金;四川;3100;10221;23692
56182;松潘;四川;3239;10334;28507
56187;温江;四川;3042;10350;5393
56188;都江堰;四川;3100;10340;6985
56193;平武;四川;3225;10431;8932
56196;绵阳;四川;3127;10444;5227
56247;巴塘;四川;3000;9906;25892
56251;新龙;四川;3056;10019;80000
56257;理塘;四川;3000;10016;39489
56265;乾宁;四川;3029;10129;34490
56287;雅安;四川;2959;10300;6276
56294;成都;四川;3040;10401;5061
56298;资阳;四川;3007;10439;3570
56357;稻城;四川;2903;10018;87277
56374;康定;四川;3003;10158;26157
56376;汉源;四川;2921;10241;7959
56385;峨眉山;四川;2931;10320;80474
56386;乐山;四川;2934;10345;4242
56441;得荣;四川;2843;9917;74229
56459;木里;四川;2756;10116;24265
56462;九龙;四川;2900;10130;79873
56475;越西;四川;2839;10231;16595
56479;昭觉;四川;2800;10251;21324
56485;雷波;四川;2816;10335;12558
56492;宜宾;四川;2848;10436;3408
56565;盐源;四川;2726;10131;25450
56571;西昌;四川;2754;10216;15909
56666;攀枝花;四川;2635;10143;11901
56671;会理;四川;2639;10215;17873
56674;仁和;四川;2630;10144;11080
57206;广元;四川;3226;10551;5138
57237;万源;四川;3204;10802;6740
57306;阆中;四川;3135;10558;3826
57313;巴中;四川;3152;10646;4177
57328;达县;四川;3112;10730;3449
57405;遂宁;四川;3030;10533;3550
57411;南充;四川;3047;10606;3097
57503;内江县;四川;2937;10507;3497
57504;内江;四川;2935;10503;3471
57537;彭水;四川;2918;10810;3106
57602;泸州;四川;2853;10526;3348
57604;纳溪;四川;2847;10523;3688
57608;叙永;四川;2810;10526;3775
54527;天津;天津;3905;11704;25
54623;塘沽;天津;3903;11743;48
54646;渤海A平台;天津;3827;11825;303
55228;狮泉河;西藏;3230;8005;42786
55248;改则;西藏;3209;8425;44149
55279;班戈;西藏;3123;9001;47000
55294;安多;西藏;3221;9106;48000
55299;那曲;西藏;3129;9204;45070
55437;普兰;西藏;3017;8115;49000
55472;申扎;西藏;3057;8838;46720
55493;当雄;西藏;3029;9106;42000
55569;拉孜;西藏;2905;8736;40000
55572;南木林;西藏;2941;8906;40000
55578;日喀则;西藏;2915;8853;38360
55585;尼木;西藏;2926;9010;38094
55589;贡噶;西藏;2918;9059;35553
55591;拉萨;西藏;2940;9108;36489
55593;墨竹贡卡;西藏;2951;9144;38043
55597;琼结;西藏;2902;9141;37410
55598;泽当;西藏;2915;9146;35517
55655;聂拉尔;西藏;2811;8558;38100
55664;定日;西藏;2838;8705;43000
55680;江孜;西藏;2855;8936;40400
55681;浪卡子;西藏;2858;9024;44324
55690;错那;西藏;2759;9157;42803
55696;隆子;西藏;2825;9228;38600
55773;帕里;西藏;2744;8905;43000
56106;索县;西藏;3153;9347;40228
56109;比如;西藏;3129;9347;39400
56116;丁青;西藏;3125;9536;38731
56128;类乌齐;西藏;3113;9636;38100
56137;昌都;西藏;3109;9710;33060
56202;嘉黎;西藏;3040;9317;44888
56223;洛隆;西藏;3045;9550;36400
56227;波密;西藏;2952;9546;27360
56228;八宿;西藏;3003;9655;32600
56307;加查;西藏;2909;9235;82600
56312;林芝;西藏;2940;9420;29918
56317;米林;西藏;2913;9413;29500
56331;左贡;西藏;2940;9750;37800
56342;芒康;西藏;2941;9836;38700
56434;察隅;西藏;2839;9728;23276
51053;哈巴河;新疆;4803;8624;5326
51059;吉木乃;新疆;4726;8552;9841
51068;福海;新疆;4707;8728;5009
51076;阿勒泰;新疆;4744;8805;7353
51087;富蕴;新疆;4659;8931;8075
51133;塔城;新疆;4644;8300;5349
51156;和布克赛尔;新疆;4647;8543;12916
51186;青河;新疆;4640;9023;12182
51232;阿拉山口;新疆;4511;8234;3361
51241;托里;新疆;4556;8336;10778
51243;克拉玛依;新疆;4537;8451;4495
51288;北塔山;新疆;4522;9032;16537
51330;温泉;新疆;4458;8101;13578
51334;精河;新疆;4437;8254;3201
51346;乌苏;新疆;4426;8440;4787
51356;石河子;新疆;4419;8603;4429
51365;蔡家湖;新疆;4412;8732;4405
51379;奇台;新疆;4401;8934;7935
51431;伊宁;新疆;4357;8120;6625
51437;昭苏;新疆;4309;8108;18510
51463;乌鲁木齐;新疆;4347;8739;9350
51467;巴仑台;新疆;4244;8618;17390
51477;达板城;新疆;4321;8819;11035
51495;七角井;新疆;4313;9144;7214
51526;库米什;新疆;4214;8813;9224
51542;巴音布鲁克;新疆;4302;8409;24580
51567;焉耆;新疆;4205;8634;10553
51573;吐鲁番;新疆;4256;8912;345
51628;阿克苏;新疆;4110;8014;11038
51633;拜城;新疆;4147;8154;12292
51642;轮台;新疆;4147;8415;9761
51644;库车;新疆;4143;8258;10819
51656;库尔勒;新疆;4145;8608;9315
51701;吐尔尕特;新疆;4031;7524;35044
51705;乌恰;新疆;3943;7515;21757
51709;喀什;新疆;3928;7559;12894
51711;阿合奇;新疆;4056;7827;19849
51716;巴楚;新疆;3948;7834;11165
51720;柯坪;新疆;4030;7903;11618
51730;阿拉尔;新疆;4033;8116;10122
51747;塔中;新疆;3900;8340;10993
51765;铁干里克;新疆;4038;8742;8460
51777;若羌;新疆;3902;8810;8877
51804;塔什库尔干;新疆;3746;7514;30901
51811;莎车;新疆;3826;7716;12312
51818;皮山;新疆;3737;7817;13754
51828;和田;新疆;3708;7956;13750
51839;民丰;新疆;3704;8243;14095
51848;安德河;新疆;3756;8339;12628
51855;且末;新疆;3809;8533;12472
51931;于田;新疆;3651;8139;14220
52101;巴里塘;新疆;4336;9303;16772
52112;淖毛糊;新疆;4346;9508;4790
52118;伊吾;新疆;4316;9442;17286
52203;哈密;新疆;4249;9331;7372
52313;红柳河;新疆;4132;9440;15738
56444;德钦;云南;2829;9855;33190
56533;贡山;云南;2745;9840;15833
56543;中甸;云南;2750;9942;32767
56548;维西;云南;2710;9917;23261
56586;昭通;云南;2721;10343;19495
